state,m_d,state_num,Latitude,Longitude
Maryland,"Movie: Adaptation  Director: Spike Jonze
Movie: Her  Director: Spike Jonze
Movie: Adaptation  Director: Spike Jonze
Movie: Her  Director: Spike Jonze
Movie: Brick  Director: Rian Johnson
Movie: Her  Director: Spike Jonze
Movie: Her  Director: Spike Jonze
Movie: Her  Director: Spike Jonze
Movie: Her  Director: Spike Jonze
Movie: Adaptation  Director: Spike Jonze
Movie: Brick  Director: Rian Johnson
",11,38.8063524,-77.2684162
Massachusetts,"Movie: Finding Nemo  Director: Andrew Stanton
Movie: WALL-E  Director: Andrew Stanton
Movie: Finding Nemo  Director: Andrew Stanton
Movie: WALL-E  Director: Andrew Stanton
Movie: WALL-E  Director: Andrew Stanton
Movie: In Jackson Heights  Director: Frederick Wiseman
Movie: WALL-E  Director: Andrew Stanton
Movie: WALL-E  Director: Andrew Stanton
Movie: Finding Nemo  Director: Andrew Stanton
Movie: WALL-E  Director: Andrew Stanton
Movie: Winter's Bone  Director: Debra Granik
Movie: WALL-E  Director: Andrew Stanton
Movie: WALL-E  Director: Andrew Stanton
Movie: WALL-E  Director: Andrew Stanton
Movie: Finding Nemo  Director: Andrew Stanton
Movie: WALL-E  Director: Andrew Stanton
Movie: WALL-E  Director: Andrew Stanton
",17,42.0629398,-71.718067
Michigan,"Movie: Spider-Man 2 Director: Sam Raimi
Movie: Bridesmaids  Director: Paul Feig
Movie: Bridesmaids  Director: Paul Feig
Movie: Bridesmaids  Director: Paul Feig
Movie: Twixt  Director: Francis Ford Coppola
Movie: Bowling for Columbine  Director: Michael Moore
Movie: Bowling for Columbine  Director: Michael Moore
",7,44.9435598,-86.4158049
Minnesota,"Movie: No Country For Old Men  Director: Joel
Movie: Inside Llewyn Davis  Director: Joel
Movie: A Serious Man  Director: Joel
Movie: No Country For Old Men  Director: Joel
Movie: Inside Llewyn Davis  Director: Joel
Movie: A Serious Man  Director: Joel
Movie: No Country For Old Men  Director: Joel
Movie: No Country For Old Men  Director: Joel
Movie: O Brother, Where Art Thou?  Director: Joel
Movie: Inside Out  Director: Pete Docter
Movie: Inside Llewyn Davis  Director: Joel
Movie: No Country For Old Men  Director: Joel
Movie: Inside Llewyn Davis  Director: Joel
Movie: Inside Llewyn Davis  Director: Joel
Movie: Inside Llewyn Davis  Director: Joel
Movie: A Serious Man  Director: Joel
Movie: Inside Out  Director: Pete Docter
Movie: Inside Llewyn Davis  Director: Joel
Movie: Inside Llewyn Davis  Director: Joel
Movie: Inside Out  Director: Pete Docter
Movie: A Serious Man  Director: Joel
Movie: Inside Llewyn Davis  Director: Joel
Movie: No Country For Old Men  Director: Joel
Movie: Inside Llewyn Davis  Director: Joel
Movie: No Country For Old Men  Director: Joel
Movie: A Serious Man  Director: Joel
Movie: Inside Out  Director: Pete Docter
Movie: Inside Llewyn Davis  Director: Joel
Movie: Inside Out  Director: Pete Docter
Movie: Inside Llewyn Davis  Director: Joel
Movie: No Country For Old Men  Director: Joel
Movie: No Country For Old Men  Director: Joel
Movie: O Brother, Where Art Thou?  Director: Joel
Movie: No Country For Old Men  Director: Joel
Movie: No Country For Old Men  Director: Joel
Movie: No Country For Old Men  Director: Joel
Movie: A Serious Man  Director: Joel
Movie: Inside Llewyn Davis  Director: Joel
Movie: Inside Out  Director: Pete Docter
Movie: No Country For Old Men  Director: Joel
Movie: A Serious Man  Director: Joel
Movie: O Brother, Where Art Thou?  Director: Joel
Movie: Inside Llewyn Davis  Director: Joel
Movie: Inside Llewyn Davis  Director: Joel
Movie: Inside Llewyn Davis  Director: Joel
Movie: No Country For Old Men  Director: Joel
Movie: A Serious Man  Director: Joel
Movie: Inside Llewyn Davis  Director: Joel
Movie: Inside Out  Director: Pete Docter
Movie: No Country For Old Men  Director: Joel
Movie: Inside Llewyn Davis  Director: Joel
Movie: Inside Out  Director: Pete Docter
Movie: Inside Llewyn Davis  Director: Joel
Movie: Inside Llewyn Davis  Director: Joel
Movie: No Country For Old Men  Director: Joel
Movie: No Country For Old Men  Director: Joel
Movie: No Country For Old Men  Director: Joel
Movie: No Country For Old Men  Director: Joel
Movie: No Country For Old Men  Director: Joel
Movie: No Country For Old Men  Director: Joel
",60,46.4418595,-93.3655146
Mississippi,"Movie: Warming by the Devil's Fire  Director: Charles Burnett
",1,32.5851062,-89.8772196
Missouri,"Movie: Gosford Park  Director: Robert Altman
Movie: Anomalisa  Director: Duke Johnson
Movie: Gosford Park  Director: Robert Altman
",3,38.3046615,-92.437099
Montana,"Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Inland Empire  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: The Incredibles  Director: Brad Bird
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Ratatouille  Director: Brad Bird
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Ratatouille  Director: Brad Bird
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: The Incredibles  Director: Brad Bird
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Ratatouille  Director: Brad Bird
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: The Incredibles  Director: Brad Bird
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Ratatouille  Director: Brad Bird
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
Movie: Mulholland Drive  Director: David Lynch
",55,46.6797995,-110.044783
Nebraska,"Movie: Sideways  Director: Alexander Payne
Movie: Sideways  Director: Alexander Payne
Movie: The Descendants  Director: Alexander Payne
Movie: Nebraska  Director: Alexander Payne
Movie: Nebraska  Director: Alexander Payne
Movie: Nebraska  Director: Alexander Payne
",6,41.5008195,-99.680902
New Jersey,"Movie: Femme Fatale  Director: Brian De Palma
Movie: Femme Fatale  Director: Brian De Palma
Movie: Spotlight  Director: Tom McCarthy
Movie: Femme Fatale  Director: Brian De Palma
Movie: Spotlight  Director: Tom McCarthy
Movie: Spotlight  Director: Tom McCarthy
Movie: Femme Fatale  Director: Brian De Palma
Movie: Spotlight  Director: Tom McCarthy
Movie: Femme Fatale  Director: Brian De Palma
",9,40.1430058,-74.7311156
New York,"Movie: Margaret  Director: Kenneth Lonergan
Movie: The Wolf of Wall Street  Director: Martin Scorsese
Movie: Synecdoche, New York  Director: Charlie Kaufman
Movie: Black Swan  Director: Darren Aronofsky
Movie: Lost in Translation  Director: Sofia Coppola
Movie: Somewhere  Director: Sofia Coppola
Movie: The Diving Bell and the Butterfly  Director: Julian Schnabel
nanMovie: Requiem for a Dream  Director: Darren Aronofsky
Movie: The Wolf of Wall Street  Director: Martin Scorsese
Movie: Footnote  Director: Joseph Cedar
Movie: You Can Count On Me  Director: Kenneth Lonergan
Movie: Yossi & Jagger  Director: Eytan Fox
Movie: Synecdoche, New York  Director: Charlie Kaufman
Movie: Lost in Translation  Director: Sofia Coppola
Movie: Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan  Director: Larry Charles
Movie: Lost in Translation  Director: Sofia Coppola
Movie: The Avengers  Director: Joss Whedon
Movie: Manchester by the Sea  Director: Kenneth Lonergan
Movie: American Hustle  Director: David O. Russell
Movie: Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan  Director: Larry Charles
Movie: Synecdoche, New York  Director: Charlie Kaufman
Movie: American Splendor  Director: Robert Pulcini
Movie: Lost in Translation  Director: Sofia Coppola
Movie: Frances Ha  Director: Noah Baumbach
Movie: Synecdoche, New York  Director: Charlie Kaufman
Movie: Requiem for a Dream  Director: Darren Aronofsky
Movie: Manchester by the Sea  Director: Kenneth Lonergan
Movie: Synecdoche, New York  Director: Charlie Kaufman
Movie: The Diving Bell and the Butterfly  Director: Julian Schnabel
Movie: The Squid and the Whale  Director: Noah Baumbach
Movie: Adventureland  Director: Greg Mottola
Movie: Synecdoche, New York  Director: Charlie Kaufman
Movie: Apocalypto  Director: Mel Gibson
Movie: Margaret  Director: Kenneth Lonergan
Movie: Two Lovers  Director: James Gray
Movie: Frances Ha  Director: Noah Baumbach
Movie: Shutter Island  Director: Martin Scorsese
Movie: Capitalism: Child Labor  Director: Ken Jacobs
Movie: Psalm III: 'Night of the Meek'  Director: Phil Solomon
Movie: Synecdoche, New York  Director: Charlie Kaufman
Movie: Margaret  Director: Kenneth Lonergan
Movie: Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan  Director: Larry Charles
Movie: Beasts of the Southern Wild  Director: Benh Zeitlin
Movie: Lost in Translation  Director: Sofia Coppola
Movie: Michael Clayton  Director: Tony Gilroy
Movie: You Can Count on Me Me  Director: Kenneth Lonergan
nanMovie: Hugo  Director: Martin Scorsese
Movie: The Wolf of Wall Street  Director: Martin Scorsese
Movie: Synecdoche, New York  Director: Charlie Kaufman
Movie: Lost in Translation  Director: Sofia Coppola
Movie: The Wrestler  Director: Darren Aronofsky
Movie: Lost in Translation  Director: Sofia Coppola
Movie: Silver Linings Playbook  Director: David O. Russell
Movie: Michael Clayton  Director: Tony Gilroy
Movie: You Can Count On Me  Director: Kenneth Lonergan
Movie: You Can Count On Me  Director: Kenneth Lonergan
Movie: Silver Linings Playbook  Director: David O. Russell
Movie: The Wrestler  Director: Darren Aronofsky
Movie: Margaret  Director: Kenneth Lonergan
Movie: Crank  Director: Mark Neveldine
Movie: The Wolf of Wall Street  Director: Martin Scorsese
Movie: Match Point  Director: Woody Allen
Movie: You Will Meet a Tall Dark Stranger  Director: Woody Allen
Movie: Best in Show  Director: Christopher Guest
Movie: Lost in Translation  Director: Sofia Coppola
Movie: Synecdoche, New York  Director: Charlie Kaufman
Movie: Alpha Dog  Director: Nick Cassavetes
Movie: Tropic Thunder  Director: Ben Stiller
Movie: Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan  Director: Larry Charles
Movie: Lost in Translation  Director: Sofia Coppola
Movie: The Yards  Director: James Gray
Movie: The Diving Bell and the Butterfly  Director: Julian Schnabel
Movie: The Diving Bell and the Butterfly  Director: Julian Schnabel
Movie: Synecdoche, New York  Director: Charlie Kaufman
Movie: Margaret  Director: Kenneth Lonergan
Movie: Synecdoche, New York  Director: Charlie Kaufman
Movie: Beasts of the Southern Wild  Director: Benh Zeitlin
Movie: Somewhere  Director: Sofia Coppola
Movie: Lost in Translation  Director: Sofia Coppola
Movie: Lost in Translation  Director: Sofia Coppola
Movie: Synecdoche, New York  Director: Charlie Kaufman
Movie: The Departed  Director: Martin Scorsese
Movie: Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan  Director: Larry Charles
Movie: Margaret  Director: Kenneth Lonergan
Movie: The Diving Bell and the Butterfly  Director: Julian Schnabel
Movie: Requiem for a Dream  Director: Darren Aronofsky
Movie: Margaret  Director: Kenneth Lonergan
Movie: Somewhere  Director: Sofia Coppola
Movie: Margaret  Director: Kenneth Lonergan
Movie: Margaret  Director: Kenneth Lonergan
Movie: The Departed  Director: Martin Scorsese
Movie: Manchester by the Sea  Director: Kenneth Lonergan
Movie: Tropic Thunder  Director: Ben Stiller
Movie: Silver Linings Playbook  Director: David O. Russell
Movie: Lost in Translation  Director: Sofia Coppola
",97,40.7056258,-73.97968
