index,critic,country,org,movie_name,movie_director,movie_year,d1,d2,d1_url,birth_place,d_countries,state,direc_birthyear,age
101,Ana Maria Bahiana,Brazil,Freelance film critic,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,"Missoula, Montana, USA", USA,Montana,1946.0,73.0
106,Ana Maria Bahiana,Brazil,Freelance film critic,The Incredibles ,Brad Bird,2004.0,Brad Bird,,/name/nm0083348/,"Kalispell, Montana, USA", USA,Montana,1957.0,62.0
108,Ana Maria Bahiana,Brazil,Freelance film critic,No Country For Old Men ,Joel and Ethan Coen,2007.0,Joel, Ethan Coen,/name/nm0001054/,"Minneapolis, Minnesota, USA", USA,Minnesota,1954.0,65.0
111,Cameron Bailey,Canada,Toronto Film Festival,12 Years a Slave,Steve McQueen,2013.0,Steve McQueen,,/name/nm0000537/,"Beech Grove, Indiana, USA", USA,Indiana,1930.0,89.0
117,Cameron Bailey,Canada,Toronto Film Festival,Selma ,Ava DuVernay,2014.0,Ava DuVernay,,/name/nm1148550/,"Long Beach, California, USA", USA,California,1972.0,47.0
120,Lindsay Baker,UK,BBC Culture,The Royal Tenenbaums ,Wes Anderson,2001.0,Wes Anderson,,/name/nm0027572/,"Houston, Texas, USA", USA,Texas,1969.0,50.0
121,Lindsay Baker,UK,BBC Culture,Far From Heaven ,Todd Haynes,2002.0,Todd Haynes,,/name/nm0001331/,"Los Angeles, California, USA", USA,California,1961.0,58.0
122,Lindsay Baker,UK,BBC Culture,Moonrise Kingdom ,Wes Anderson,2012.0,Wes Anderson,,/name/nm0027572/,"Houston, Texas, USA", USA,Texas,1969.0,50.0
123,Lindsay Baker,UK,BBC Culture,Lost in Translation ,Sofia Coppola,2003.0,Sofia Coppola,,/name/nm0001068/,"New York City, New York, USA", USA,New York,1971.0,48.0
124,Lindsay Baker,UK,BBC Culture,A Single Man ,Tom Ford,2009.0,Tom Ford,,/name/nm1053530/,"Austin, Texas, USA", USA,Texas,1961.0,58.0
126,Lindsay Baker,UK,BBC Culture,Toy Story 3,Lee Unkrich,2010.0,Lee Unkrich,,/name/nm0881279/,"Cleveland, Ohio, USA", USA,Ohio,1967.0,52.0
129,Lindsay Baker,UK,BBC Culture,Donnie Darko ,Richard Kelly,2001.0,Richard Kelly,,/name/nm0446819/,"Newport News, Virginia, USA", USA,Virginia,1975.0,44.0
130,Miriam Bale,US,Freelance film critic,Inherent Vice ,Paul Thomas Anderson,2014.0,Paul Thomas Anderson,,/name/nm0000759/,"Studio City, California, USA", USA,California,1970.0,49.0
134,Miriam Bale,US,Freelance film critic,Somewhere ,Sofia Coppola,2010.0,Sofia Coppola,,/name/nm0001068/,"New York City, New York, USA", USA,New York,1971.0,48.0
137,Miriam Bale,US,Freelance film critic,Inside Llewyn Davis ,Joel and Ethan Coen,2013.0,Joel, Ethan Coen,/name/nm0001054/,"Minneapolis, Minnesota, USA", USA,Minnesota,1954.0,65.0
139,Miriam Bale,US,Freelance film critic,Bamboozled ,Spike Lee,2000.0,Spike Lee,,/name/nm0000490/,"Atlanta, Georgia, USA", USA,Georgia,1957.0,62.0
140,Nicholas Barber,UK,BBC Culture,Boyhood ,Richard Linklater,2014.0,Richard Linklater,,/name/nm0000500/,"Houston, Texas, USA", USA,Texas,1960.0,59.0
142,Nicholas Barber,UK,BBC Culture,Anomalisa ,Duke Johnson and Charlie Kaufman,2015.0,Duke Johnson, Charlie Kaufman,/name/nm2122478/,"St. Louis, Missouri, USA", USA,Missouri,1979.0,40.0
143,Nicholas Barber,UK,BBC Culture,12 Years a Slave,Steve McQueen,2013.0,Steve McQueen,,/name/nm0000537/,"Beech Grove, Indiana, USA", USA,Indiana,1930.0,89.0
146,Nicholas Barber,UK,BBC Culture,The Diving Bell and the Butterfly ,Julian Schnabel,2007.0,Julian Schnabel,,/name/nm0773603/,"Brooklyn, New York, USA", USA,New York,1951.0,68.0
148,Nicholas Barber,UK,BBC Culture,The Social Network ,David Fincher,2010.0,David Fincher,,/name/nm0000399/,"Denver, Colorado, USA", USA,Colorado,1962.0,57.0
150,Diego Batlle,Argentina,La Nacion,WALL-E ,Andrew Stanton,2008.0,Andrew Stanton,,/name/nm0004056/,"Boston, Massachusetts, USA", USA,Massachusetts,1965.0,54.0
153,Diego Batlle,Argentina,La Nacion,Boyhood ,Richard Linklater,2014.0,Richard Linklater,,/name/nm0000500/,"Houston, Texas, USA", USA,Texas,1960.0,59.0
156,Diego Batlle,Argentina,La Nacion,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,"Missoula, Montana, USA", USA,Montana,1946.0,73.0
157,Diego Batlle,Argentina,La Nacion,The Social Network ,David Fincher,2010.0,David Fincher,,/name/nm0000399/,"Denver, Colorado, USA", USA,Colorado,1962.0,57.0
158,Diego Batlle,Argentina,La Nacion,Elephant ,Gus Van Sant,2003.0,Gus Van Sant,,/name/nm0001814/,"Louisville, Kentucky, USA", USA,Kentucky,1952.0,67.0
160,NT Binh,France,Positif,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,"Missoula, Montana, USA", USA,Montana,1946.0,73.0
