index,critic,country,org,movie_name,movie_director,movie_year,d1,d2,d1_url,birth_place,d_countries,state,direc_birthyear,age
410,Bilge Ebiri,US,The Village Voice,The Tree of Life ,Terrence Malick,2011.0,Terrence Malick,,/name/nm0000517/,"Ottawa, Illinois, USA", USA,Illinois,1943.0,76.0
412,Bilge Ebiri,US,The Village Voice,25th Hour,Spike Lee,2002.0,Spike Lee,,/name/nm0000490/,"Atlanta, Georgia, USA", USA,Georgia,1957.0,62.0
414,Bilge Ebiri,US,The Village Voice,Love & Basketball ,Gina Prince-Bythewood,2000.0,Gina Prince-Bythewood,,/name/nm0697656/,USA, USA,,1969.0,50.0
418,Bilge Ebiri,US,The Village Voice,It's Such a Beautiful Day ,Don Hertzfeldt,2012.0,Don Hertzfeldt,,/name/nm0381116/,"Fremont, California, USA", USA,California,1976.0,43.0
419,Bilge Ebiri,US,The Village Voice,Actress ,Robert Greene,2014.0,Robert Greene,,/name/nm1914992/,"Charlotte, North Carolina, USA", USA,North Carolina,1976.0,43.0
420,David Ehrlich,US,IndieWire,Lost in Translation ,Sofia Coppola,2003.0,Sofia Coppola,,/name/nm0001068/,"New York City, New York, USA", USA,New York,1971.0,48.0
421,David Ehrlich,US,IndieWire,Carol ,Todd Haynes,2015.0,Todd Haynes,,/name/nm0001331/,"Los Angeles, California, USA", USA,California,1961.0,58.0
426,David Ehrlich,US,IndieWire,World of Tomorrow ,Don Hertzfeldt,2015.0,Don Hertzfeldt,,/name/nm0381116/,"Fremont, California, USA", USA,California,1976.0,43.0
427,David Ehrlich,US,IndieWire,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,"Missoula, Montana, USA", USA,Montana,1946.0,73.0
430,Kate Erbland,US,IndieWire,Inside Llewyn Davis ,Joel and Ethan Coen,2013.0,Joel, Ethan Coen,/name/nm0001054/,"Minneapolis, Minnesota, USA", USA,Minnesota,1954.0,65.0
431,Kate Erbland,US,IndieWire,Almost Famous ,Cameron Crowe,2000.0,Cameron Crowe,,/name/nm0001081/,"Palm Springs, California, USA", USA,California,1957.0,62.0
432,Kate Erbland,US,IndieWire,Collateral ,Michael Mann,2004.0,Michael Mann,,/name/nm0000520/,"Chicago, Illinois, USA", USA,Illinois,1943.0,76.0
434,Kate Erbland,US,IndieWire,Nightcrawler ,Dan Gilroy,2014.0,Dan Gilroy,,/name/nm0319659/,"Santa Monica, California, USA", USA,California,1959.0,60.0
435,Kate Erbland,US,IndieWire,Take Shelter ,Jeff Nichols,2011.0,Jeff Nichols,,/name/nm2158772/,"Little Rock, Arkansas, USA", USA,Arkansas,1978.0,41.0
436,Kate Erbland,US,IndieWire,Fantastic Mr Fox ,Wes Anderson,2009.0,Wes Anderson,,/name/nm0027572/,"Houston, Texas, USA", USA,Texas,1969.0,50.0
438,Kate Erbland,US,IndieWire,Frances Ha ,Noah Baumbach,2012.0,Noah Baumbach,,/name/nm0000876/,"Brooklyn, New York City, New York, USA", USA,New York,1969.0,50.0
441,Mario Espinosa,Cuba,Cinemateca de Cuba,The Act of Killing ,Joshua Oppenheimer,2012.0,Joshua Oppenheimer,,/name/nm1484791/,"Texas, USA", USA,Texas,1974.0,45.0
446,Mario Espinosa,Cuba,Cinemateca de Cuba,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,"Missoula, Montana, USA", USA,Montana,1946.0,73.0
449,Mario Espinosa,Cuba,Cinemateca de Cuba,"Synecdoche, New York ",Charlie Kaufman,2008.0,Charlie Kaufman,,/name/nm0442109/,"New York City, New York, USA", USA,New York,1958.0,61.0
451,Joseph Fahim,Egypt,Freelance film critic,There Will Be Blood ,Paul Thomas Anderson,2007.0,Paul Thomas Anderson,,/name/nm0000759/,"Studio City, California, USA", USA,California,1970.0,49.0
452,Joseph Fahim,Egypt,Freelance film critic,Boyhood ,Richard Linklater,2014.0,Richard Linklater,,/name/nm0000500/,"Houston, Texas, USA", USA,Texas,1960.0,59.0
456,Joseph Fahim,Egypt,Freelance film critic,The Act of Killing ,Joshua Oppenheimer,2012.0,Joshua Oppenheimer,,/name/nm1484791/,"Texas, USA", USA,Texas,1974.0,45.0
460,Devin Faraci,US,Birth.Movies.Death.,Zodiac ,David Fincher,2007.0,David Fincher,,/name/nm0000399/,"Denver, Colorado, USA", USA,Colorado,1962.0,57.0
461,Devin Faraci,US,Birth.Movies.Death.,Inside Llewyn Davis ,Joel and Ethan Coen,2013.0,Joel, Ethan Coen,/name/nm0001054/,"Minneapolis, Minnesota, USA", USA,Minnesota,1954.0,65.0
462,Devin Faraci,US,Birth.Movies.Death.,There Will Be Blood ,Paul Thomas Anderson,2007.0,Paul Thomas Anderson,,/name/nm0000759/,"Studio City, California, USA", USA,California,1970.0,49.0
463,Devin Faraci,US,Birth.Movies.Death.,Spider-Man 2,Sam Raimi,2004.0,Sam Raimi,,/name/nm0000600/,"Royal Oak, Michigan, USA", USA,Michigan,1959.0,60.0
465,Devin Faraci,US,Birth.Movies.Death.,Inglourious Basterds ,Quentin Tarantino,2009.0,Quentin Tarantino,,/name/nm0000233/,"Knoxville, Tennessee, USA", USA,Tennessee,1963.0,56.0
466,Devin Faraci,US,Birth.Movies.Death.,Frozen ,Chris Buck and Jennifer Lee,2013.0,Chris Buck, Jennifer Lee,/name/nm0118333/,"Wichita, Kansas, USA", USA,Kansas,1958.0,61.0
467,Devin Faraci,US,Birth.Movies.Death.,25th Hour,Spike Lee,2002.0,Spike Lee,,/name/nm0000490/,"Atlanta, Georgia, USA", USA,Georgia,1957.0,62.0
468,Devin Faraci,US,Birth.Movies.Death.,Requiem for a Dream ,Darren Aronofsky,2000.0,Darren Aronofsky,,/name/nm0004716/,"Brooklyn, New York City, New York, USA", USA,New York,1969.0,50.0
470,David Fear,US,Rolling Stone,There Will Be Blood ,Paul Thomas Anderson,2007.0,Paul Thomas Anderson,,/name/nm0000759/,"Studio City, California, USA", USA,California,1970.0,49.0
473,David Fear,US,Rolling Stone,Shame ,Steve McQueen,2011.0,Steve McQueen,,/name/nm0000537/,"Beech Grove, Indiana, USA", USA,Indiana,1930.0,89.0
474,David Fear,US,Rolling Stone,Boyhood ,Richard Linklater,2014.0,Richard Linklater,,/name/nm0000500/,"Houston, Texas, USA", USA,Texas,1960.0,59.0
475,David Fear,US,Rolling Stone,The Social Network ,David Fincher,2010.0,David Fincher,,/name/nm0000399/,"Denver, Colorado, USA", USA,Colorado,1962.0,57.0
476,David Fear,US,Rolling Stone,Manchester by the Sea ,Kenneth Lonergan,2016.0,Kenneth Lonergan,,/name/nm0518836/,"New York City, New York, USA", USA,New York,1962.0,57.0
477,David Fear,US,Rolling Stone,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,"Missoula, Montana, USA", USA,Montana,1946.0,73.0
480,Scott Feinberg,US,The Hollywood Reporter,Sideways ,Alexander Payne,2004.0,Alexander Payne,,/name/nm0668247/,"Omaha, Nebraska, USA", USA,Nebraska,1961.0,58.0
481,Scott Feinberg,US,The Hollywood Reporter,The Social Network ,David Fincher,2010.0,David Fincher,,/name/nm0000399/,"Denver, Colorado, USA", USA,Colorado,1962.0,57.0
482,Scott Feinberg,US,The Hollywood Reporter,"Synecdoche, New York ",Charlie Kaufman,2008.0,Charlie Kaufman,,/name/nm0442109/,"New York City, New York, USA", USA,New York,1958.0,61.0
483,Scott Feinberg,US,The Hollywood Reporter,The Diving Bell and the Butterfly ,Julian Schnabel,2007.0,Julian Schnabel,,/name/nm0773603/,"Brooklyn, New York, USA", USA,New York,1951.0,68.0
485,Scott Feinberg,US,The Hollywood Reporter,Short Term 12,Destin Daniel Cretton,2013.0,Destin Daniel Cretton,,/name/nm2308774/,"Maui, Hawaii, USA", USA,Hawaii,1978.0,41.0
486,Scott Feinberg,US,The Hollywood Reporter,WALL-E ,Andrew Stanton,2008.0,Andrew Stanton,,/name/nm0004056/,"Boston, Massachusetts, USA", USA,Massachusetts,1965.0,54.0
487,Scott Feinberg,US,The Hollywood Reporter,Blue Valentine ,Derek Cianfrance,2010.0,Derek Cianfrance,,/name/nm0161834/,"Lakewood, Colorado, USA", USA,Colorado,1974.0,45.0
488,Scott Feinberg,US,The Hollywood Reporter,The Squid and the Whale ,Noah Baumbach,2005.0,Noah Baumbach,,/name/nm0000876/,"Brooklyn, New York City, New York, USA", USA,New York,1969.0,50.0
489,Scott Feinberg,US,The Hollywood Reporter,A Serious Man ,Joel and Ethan Coen,2009.0,Joel, Ethan Coen,/name/nm0001054/,"Minneapolis, Minnesota, USA", USA,Minnesota,1954.0,65.0
490,Javier Porta Fouz,Argentina,La Nacion,Jersey Boys ,Clint Eastwood,2014.0,Clint Eastwood,,/name/nm0000142/,"San Francisco, California, USA", USA,California,1930.0,89.0
495,Javier Porta Fouz,Argentina,La Nacion,Toy Story 3,Lee Unkrich,2010.0,Lee Unkrich,,/name/nm0881279/,"Cleveland, Ohio, USA", USA,Ohio,1967.0,52.0
498,Javier Porta Fouz,Argentina,La Nacion,Adventureland ,Greg Mottola,2009.0,Greg Mottola,,/name/nm0609549/,"Dix Hills, Long Island, New York, USA", USA,New York,1964.0,55.0
499,Javier Porta Fouz,Argentina,La Nacion,Open Range ,Kevin Costner,2003.0,Kevin Costner,,/name/nm0000126/,"Lynwood, California, USA", USA,California,1955.0,64.0
502,Kenji Fujishima,US,Freelance film critic,Inglourious Basterds ,Quentin Tarantino,2009.0,Quentin Tarantino,,/name/nm0000233/,"Knoxville, Tennessee, USA", USA,Tennessee,1963.0,56.0
505,Kenji Fujishima,US,Freelance film critic,In Jackson Heights ,Frederick Wiseman,2015.0,Frederick Wiseman,,/name/nm0936464/,"Boston, Massachusetts, USA", USA,Massachusetts,1930.0,89.0
506,Kenji Fujishima,US,Freelance film critic,"Synecdoche, New York ",Charlie Kaufman,2008.0,Charlie Kaufman,,/name/nm0442109/,"New York City, New York, USA", USA,New York,1958.0,61.0
508,Kenji Fujishima,US,Freelance film critic,The Tree of Life ,Terrence Malick,2011.0,Terrence Malick,,/name/nm0000517/,"Ottawa, Illinois, USA", USA,Illinois,1943.0,76.0
512,Ernesto Garratt,Chile,El Mercurio,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,"Missoula, Montana, USA", USA,Montana,1946.0,73.0
516,Ernesto Garratt,Chile,El Mercurio,Donnie Darko ,Richard Kelly,2001.0,Richard Kelly,,/name/nm0446819/,"Newport News, Virginia, USA", USA,Virginia,1975.0,44.0
518,Ernesto Garratt,Chile,El Mercurio,The Social Network ,David Fincher,2010.0,David Fincher,,/name/nm0000399/,"Denver, Colorado, USA", USA,Colorado,1962.0,57.0
519,Ernesto Garratt,Chile,El Mercurio,Whiplash ,Damien Chazelle,2014.0,Damien Chazelle,,/name/nm3227090/,"Providence, Rhode Island, USA", USA,Rhode Island,1985.0,34.0
521,Steven Gaydos,US,Variety,Inside Out ,Pete Docter,2015.0,Pete Docter,,/name/nm0230032/,"Bloomington, Minnesota, USA", USA,Minnesota,1968.0,51.0
523,Steven Gaydos,US,Variety,Apocalypto ,Mel Gibson,2006.0,Mel Gibson,,/name/nm0000154/,"Peekskill, New York, USA", USA,New York,1956.0,63.0
525,Steven Gaydos,US,Variety,WALL-E ,Andrew Stanton,2008.0,Andrew Stanton,,/name/nm0004056/,"Boston, Massachusetts, USA", USA,Massachusetts,1965.0,54.0
528,Steven Gaydos,US,Variety,Talladega Nights: The Ballad of Ricky Bobby ,Adam McKay,2006.0,Adam McKay,,/name/nm0570912/,"Philadelphia, Pennsylvania, USA", USA,Pennsylvania,1968.0,51.0
531,Noah Gittell,US,Washington City Paper,Zodiac ,David Fincher,2007.0,David Fincher,,/name/nm0000399/,"Denver, Colorado, USA", USA,Colorado,1962.0,57.0
532,Noah Gittell,US,Washington City Paper,Bridesmaids ,Paul Feig,2011.0,Paul Feig,,/name/nm0082450/,"Mount Clemens, Michigan, USA", USA,Michigan,1962.0,57.0
533,Noah Gittell,US,Washington City Paper,WALL-E ,Andrew Stanton,2008.0,Andrew Stanton,,/name/nm0004056/,"Boston, Massachusetts, USA", USA,Massachusetts,1965.0,54.0
535,Noah Gittell,US,Washington City Paper,The Look of Silence ,Joshua Oppenheimer,2014.0,Joshua Oppenheimer,,/name/nm1484791/,"Texas, USA", USA,Texas,1974.0,45.0
536,Noah Gittell,US,Washington City Paper,Punch-Drunk Love ,Paul Thomas Anderson,2002.0,Paul Thomas Anderson,,/name/nm0000759/,"Studio City, California, USA", USA,California,1970.0,49.0
537,Noah Gittell,US,Washington City Paper,12 Years a Slave,Steve McQueen,2013.0,Steve McQueen,,/name/nm0000537/,"Beech Grove, Indiana, USA", USA,Indiana,1930.0,89.0
540,Owen Gleiberman,US,Variety,Far From Heaven ,Todd Haynes,2002.0,Todd Haynes,,/name/nm0001331/,"Los Angeles, California, USA", USA,California,1961.0,58.0
545,Owen Gleiberman,US,Variety,Munich ,Steven Spielberg,2005.0,Steven Spielberg,,/name/nm0000229/,"Cincinnati, Ohio, USA", USA,Ohio,1946.0,73.0
548,Owen Gleiberman,US,Variety,Sideways ,Alexander Payne,2004.0,Alexander Payne,,/name/nm0668247/,"Omaha, Nebraska, USA", USA,Nebraska,1961.0,58.0
549,Owen Gleiberman,US,Variety,Inglourious Basterds ,Quentin Tarantino,2009.0,Quentin Tarantino,,/name/nm0000233/,"Knoxville, Tennessee, USA", USA,Tennessee,1963.0,56.0
550,Ed Gonzalez,US,Slant Magazine,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,"Missoula, Montana, USA", USA,Montana,1946.0,73.0
552,Ed Gonzalez,US,Slant Magazine,The New World ,Terrence Malick,2005.0,Terrence Malick,,/name/nm0000517/,"Ottawa, Illinois, USA", USA,Illinois,1943.0,76.0
554,Ed Gonzalez,US,Slant Magazine,Femme Fatale ,Brian De Palma,2002.0,Brian De Palma,,/name/nm0000361/,"Newark, New Jersey, USA", USA,New Jersey,1940.0,79.0
555,Ed Gonzalez,US,Slant Magazine,Margaret ,Kenneth Lonergan,2011.0,Kenneth Lonergan,,/name/nm0518836/,"New York City, New York, USA", USA,New York,1962.0,57.0
558,Ed Gonzalez,US,Slant Magazine,Two Lovers ,James Gray,2008.0,James Gray,,/name/nm0336695/,"New York City, New York, USA", USA,New York,1969.0,50.0
559,Ed Gonzalez,US,Slant Magazine,Heart of a Dog ,Laurie Anderson,2015.0,Laurie Anderson,,/name/nm0002173/,"Glen Ellyn, Illinois, USA", USA,Illinois,1947.0,72.0
564,Juan Carlos González,Colombia,El Tiempo,Elephant ,Gus Van Sant,2003.0,Gus Van Sant,,/name/nm0001814/,"Louisville, Kentucky, USA", USA,Kentucky,1952.0,67.0
566,Juan Carlos González,Colombia,El Tiempo,There Will Be Blood ,Paul Thomas Anderson,2007.0,Paul Thomas Anderson,,/name/nm0000759/,"Studio City, California, USA", USA,California,1970.0,49.0
568,Juan Carlos González,Colombia,El Tiempo,Frances Ha ,Noah Baumbach,2012.0,Noah Baumbach,,/name/nm0000876/,"Brooklyn, New York City, New York, USA", USA,New York,1969.0,50.0
571,Carmen Gray,Germany,Berlin Critics’ Week,The Act of Killing ,Joshua Oppenheimer,2012.0,Joshua Oppenheimer,,/name/nm1484791/,"Texas, USA", USA,Texas,1974.0,45.0
574,Carmen Gray,Germany,Berlin Critics’ Week,Spring Breakers ,Harmony Korine,2012.0,Harmony Korine,,/name/nm0005101/,"Bolinas, California, USA", USA,California,1973.0,46.0
581,Tim Grierson,US,Screen International,Zodiac ,David Fincher,2007.0,David Fincher,,/name/nm0000399/,"Denver, Colorado, USA", USA,Colorado,1962.0,57.0
582,Tim Grierson,US,Screen International,There Will Be Blood ,Paul Thomas Anderson,2007.0,Paul Thomas Anderson,,/name/nm0000759/,"Studio City, California, USA", USA,California,1970.0,49.0
583,Tim Grierson,US,Screen International,Inside Llewyn Davis ,Joel and Ethan Coen,2013.0,Joel, Ethan Coen,/name/nm0001054/,"Minneapolis, Minnesota, USA", USA,Minnesota,1954.0,65.0
586,Tim Grierson,US,Screen International,The Master ,Paul Thomas Anderson,2012.0,Paul Thomas Anderson,,/name/nm0000759/,"Studio City, California, USA", USA,California,1970.0,49.0
587,Tim Grierson,US,Screen International,It's Such a Beautiful Day ,Don Hertzfeldt,2012.0,Don Hertzfeldt,,/name/nm0381116/,"Fremont, California, USA", USA,California,1976.0,43.0
588,Tim Grierson,US,Screen International,Boyhood ,Richard Linklater,2014.0,Richard Linklater,,/name/nm0000500/,"Houston, Texas, USA", USA,Texas,1960.0,59.0
589,Tim Grierson,US,Screen International,Shutter Island ,Martin Scorsese,2010.0,Martin Scorsese,,/name/nm0000217/,"Queens, New York City, New York, USA", USA,New York,1942.0,77.0
595,Jean-Philippe Guerand,France,L'Avant-Scène Cinéma,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,"Missoula, Montana, USA", USA,Montana,1946.0,73.0
598,Jean-Philippe Guerand,France,L'Avant-Scène Cinéma,Kill Bill: Vol. 1,Quentin Tarantino,2003.0,Quentin Tarantino,,/name/nm0000233/,"Knoxville, Tennessee, USA", USA,Tennessee,1963.0,56.0
601,Antoine Guillot,France,France Culture,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,"Missoula, Montana, USA", USA,Montana,1946.0,73.0
606,Antoine Guillot,France,France Culture,Elephant ,Gus Van Sant,2003.0,Gus Van Sant,,/name/nm0001814/,"Louisville, Kentucky, USA", USA,Kentucky,1952.0,67.0
610,Tom Gunning,US,University of Chicago,The New World ,Terrence Malick,2005.0,Terrence Malick,,/name/nm0000517/,"Ottawa, Illinois, USA", USA,Illinois,1943.0,76.0
611,Tom Gunning,US,University of Chicago,Capitalism: Child Labor ,Ken Jacobs,2007.0,Ken Jacobs,,/name/nm0414499/,"Williamsburg, Brooklyn, New York City, New York, USA", USA,New York,1933.0,86.0
612,Tom Gunning,US,University of Chicago,Psalm III: 'Night of the Meek' ,Phil Solomon,2002.0,Phil Solomon,,/name/nm0813409/,"Manhattan, New York City, New York, USA", USA,New York,1954.0,65.0
630,Hauvick Habechian,Lebanon,An-Nahar Newspaper,There Will Be Blood ,Paul Thomas Anderson,2007.0,Paul Thomas Anderson,,/name/nm0000759/,"Studio City, California, USA", USA,California,1970.0,49.0
631,Hauvick Habechian,Lebanon,An-Nahar Newspaper,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,"Missoula, Montana, USA", USA,Montana,1946.0,73.0
632,Hauvick Habechian,Lebanon,An-Nahar Newspaper,AI: Artificial Intelligence ,Steven Spielberg,2001.0,Steven Spielberg,,/name/nm0000229/,"Cincinnati, Ohio, USA", USA,Ohio,1946.0,73.0
640,Angie Han,US,Slashfilm,"Synecdoche, New York ",Charlie Kaufman,2008.0,Charlie Kaufman,,/name/nm0442109/,"New York City, New York, USA", USA,New York,1958.0,61.0
642,Angie Han,US,Slashfilm,Boyhood ,Richard Linklater,2014.0,Richard Linklater,,/name/nm0000500/,"Houston, Texas, USA", USA,Texas,1960.0,59.0
644,Angie Han,US,Slashfilm,Me and You and Everyone We Know ,Miranda July,2005.0,Miranda July,,/name/nm0432380/,"Barre, Vermont, USA", USA,Vermont,1974.0,45.0
645,Angie Han,US,Slashfilm,Gone Girl ,David Fincher,2014.0,David Fincher,,/name/nm0000399/,"Denver, Colorado, USA", USA,Colorado,1962.0,57.0
646,Angie Han,US,Slashfilm,Inside Llewyn Davis ,Joel and Ethan Coen,2013.0,Joel, Ethan Coen,/name/nm0001054/,"Minneapolis, Minnesota, USA", USA,Minnesota,1954.0,65.0
647,Angie Han,US,Slashfilm,Only Lovers Left Alive ,Jim Jarmusch,2013.0,Jim Jarmusch,,/name/nm0000464/,"Akron, Ohio, USA", USA,Ohio,1953.0,66.0
648,Angie Han,US,Slashfilm,Selma ,Ava DuVernay,2014.0,Ava DuVernay,,/name/nm1148550/,"Long Beach, California, USA", USA,California,1972.0,47.0
649,Angie Han,US,Slashfilm,Pain & Gain ,Michael Bay,2013.0,Michael Bay,,/name/nm0000881/,"Los Angeles, California, USA", USA,California,1965.0,54.0
650,Aisha Harris,US,Slate,Inside Out ,Pete Docter,2015.0,Pete Docter,,/name/nm0230032/,"Bloomington, Minnesota, USA", USA,Minnesota,1968.0,51.0
651,Aisha Harris,US,Slate,When the Levees Broke: A Requiem in Four Acts ,Spike Lee,2006.0,Spike Lee,,/name/nm0000490/,"Atlanta, Georgia, USA", USA,Georgia,1957.0,62.0
653,Aisha Harris,US,Slate,Her ,Spike Jonze,2013.0,Spike Jonze,,/name/nm0005069/,"Rockville, Maryland, USA", USA,Maryland,1969.0,50.0
655,Aisha Harris,US,Slate,Before Midnight ,Richard Linklater,2013.0,Richard Linklater,,/name/nm0000500/,"Houston, Texas, USA", USA,Texas,1960.0,59.0
656,Aisha Harris,US,Slate,The Look of Silence ,Joshua Oppenheimer,2014.0,Joshua Oppenheimer,,/name/nm1484791/,"Texas, USA", USA,Texas,1974.0,45.0
657,Aisha Harris,US,Slate,Fruitvale Station ,Ryan Coogler,2013.0,Ryan Coogler,,/name/nm3363032/,"Oakland, California, USA", USA,California,1986.0,33.0
658,Aisha Harris,US,Slate,Love & Basketball ,Gina Prince-Bythewood,2000.0,Gina Prince-Bythewood,,/name/nm0697656/,USA, USA,,1969.0,50.0
659,Aisha Harris,US,Slate,Brick ,Rian Johnson,2005.0,Rian Johnson,,/name/nm0426059/,"Silver Spring, Maryland, USA", USA,Maryland,1973.0,46.0
662,Tina Hassannia,Canada,Freelance film critic,Margaret ,Kenneth Lonergan,2011.0,Kenneth Lonergan,,/name/nm0518836/,"New York City, New York, USA", USA,New York,1962.0,57.0
667,Tina Hassannia,Canada,Freelance film critic,The Royal Tenenbaums ,Wes Anderson,2001.0,Wes Anderson,,/name/nm0027572/,"Houston, Texas, USA", USA,Texas,1969.0,50.0
668,Tina Hassannia,Canada,Freelance film critic,Spring Breakers ,Harmony Korine,2012.0,Harmony Korine,,/name/nm0005101/,"Bolinas, California, USA", USA,California,1973.0,46.0
673,Shiguehiko Hasumi,Japan,University of Tokyo,Gran Torino ,Clint Eastwood,2008.0,Clint Eastwood,,/name/nm0000142/,"San Francisco, California, USA", USA,California,1930.0,89.0
675,Shiguehiko Hasumi,Japan,University of Tokyo,Fantastic Mr Fox ,Wes Anderson,2012.0,Wes Anderson,,/name/nm0027572/,"Houston, Texas, USA", USA,Texas,1969.0,50.0
677,Shiguehiko Hasumi,Japan,University of Tokyo,Death Proof – Grindhouse ,Quentin Tarantino,2007.0,Quentin Tarantino,,/name/nm0000233/,"Knoxville, Tennessee, USA", USA,Tennessee,1963.0,56.0
686,Katarina Hedrén,South Africa,Freelance film critic,Hunger ,Steve McQueen,2008.0,Steve McQueen,,/name/nm0000537/,"Beech Grove, Indiana, USA", USA,Indiana,1930.0,89.0
687,Katarina Hedrén,South Africa,Freelance film critic,Fruitvale Station ,Ryan Coogler,2013.0,Ryan Coogler,,/name/nm3363032/,"Oakland, California, USA", USA,California,1986.0,33.0
689,Katarina Hedrén,South Africa,Freelance film critic,Middle of Nowhere ,Ava DuVernay,2012.0,Ava DuVernay,,/name/nm1148550/,"Long Beach, California, USA", USA,California,1972.0,47.0
690,Jordan Hoffman,US,Freelance film critic,A Serious Man ,Joel and Ethan Coen,2009.0,Joel, Ethan Coen,/name/nm0001054/,"Minneapolis, Minnesota, USA", USA,Minnesota,1954.0,65.0
691,Jordan Hoffman,US,Freelance film critic,Inside Llewyn Davis ,Joel and Ethan Coen,2013.0,Joel, Ethan Coen,/name/nm0001054/,"Minneapolis, Minnesota, USA", USA,Minnesota,1954.0,65.0
693,Jordan Hoffman,US,Freelance film critic,Waking Life ,Richard Linklater,2001.0,Richard Linklater,,/name/nm0000500/,"Houston, Texas, USA", USA,Texas,1960.0,59.0
696,Jordan Hoffman,US,Freelance film critic,There Will Be Blood ,Paul Thomas Anderson,2007.0,Paul Thomas Anderson,,/name/nm0000759/,"Studio City, California, USA", USA,California,1970.0,49.0
699,Jordan Hoffman,US,Freelance film critic,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,Larry Charles,2006.0,Larry Charles,,/name/nm0153078/,"Brooklyn, New York City, New York, USA", USA,New York,1956.0,63.0
700,Michael Hogan,US,Vanity Fair,The Social Network ,David Fincher,2010.0,David Fincher,,/name/nm0000399/,"Denver, Colorado, USA", USA,Colorado,1962.0,57.0
701,Michael Hogan,US,Vanity Fair,Boyhood ,Richard Linklater,2014.0,Richard Linklater,,/name/nm0000500/,"Houston, Texas, USA", USA,Texas,1960.0,59.0
702,Michael Hogan,US,Vanity Fair,The Descendants ,Alexander Payne,2011.0,Alexander Payne,,/name/nm0668247/,"Omaha, Nebraska, USA", USA,Nebraska,1961.0,58.0
703,Michael Hogan,US,Vanity Fair,Beasts of the Southern Wild ,Benh Zeitlin,2012.0,Benh Zeitlin,,/name/nm1022455/,"Manhattan, New York, USA", USA,New York,1982.0,37.0
704,Michael Hogan,US,Vanity Fair,No Country For Old Men ,Joel and Ethan Coen,2007.0,Joel, Ethan Coen,/name/nm0001054/,"Minneapolis, Minnesota, USA", USA,Minnesota,1954.0,65.0
706,Michael Hogan,US,Vanity Fair,Bridesmaids ,Paul Feig,2011.0,Paul Feig,,/name/nm0082450/,"Mount Clemens, Michigan, USA", USA,Michigan,1962.0,57.0
707,Michael Hogan,US,Vanity Fair,Spring Breakers ,Harmony Korine,2012.0,Harmony Korine,,/name/nm0005101/,"Bolinas, California, USA", USA,California,1973.0,46.0
711,Ann Hornaday,US,The Washington Post,There Will Be Blood ,Paul Thomas Anderson,2007.0,Paul Thomas Anderson,,/name/nm0000759/,"Studio City, California, USA", USA,California,1970.0,49.0
712,Ann Hornaday,US,The Washington Post,The Hurt Locker ,Kathryn Bigelow,2008.0,Kathryn Bigelow,,/name/nm0000941/,"San Carlos, California, USA", USA,California,1951.0,68.0
715,Ann Hornaday,US,The Washington Post,Boyhood ,Richard Linklater,2014.0,Richard Linklater,,/name/nm0000500/,"Houston, Texas, USA", USA,Texas,1960.0,59.0
716,Ann Hornaday,US,The Washington Post,Lost in Translation ,Sofia Coppola,2003.0,Sofia Coppola,,/name/nm0001068/,"New York City, New York, USA", USA,New York,1971.0,48.0
717,Ann Hornaday,US,The Washington Post,Michael Clayton ,Tony Gilroy,2007.0,Tony Gilroy,,/name/nm0006904/,"Manhattan, New York City, New York, USA", USA,New York,1956.0,63.0
718,Ann Hornaday,US,The Washington Post,You Can Count on Me Me ,Kenneth Lonergan,2000.0,Kenneth Lonergan,,/name/nm0518836/,"New York City, New York, USA", USA,New York,1962.0,57.0
719,Ann Hornaday,US,The Washington Post,Finding Nemo ,Andrew Stanton and Lee Unkrich,2003.0,Andrew Stanton, Lee Unkrich,/name/nm0004056/,"Boston, Massachusetts, USA", USA,Massachusetts,1965.0,54.0
720,Alexander Horwath,Austria,Austrian Film Museum,,,,,,/name/nm0545408/,"Buffalo, New York, USA", USA,New York,1928.0,91.0
721,Peter Howell,Canada,The Toronto Star,Boyhood ,Richard Linklater,2014.0,Richard Linklater,,/name/nm0000500/,"Houston, Texas, USA", USA,Texas,1960.0,59.0
723,Peter Howell,Canada,The Toronto Star,The Tree of Life ,Terrence Malick,2011.0,Terrence Malick,,/name/nm0000517/,"Ottawa, Illinois, USA", USA,Illinois,1943.0,76.0
725,Peter Howell,Canada,The Toronto Star,Inside Llewyn Davis ,Joel and Ethan Coen,2013.0,Joel, Ethan Coen,/name/nm0001054/,"Minneapolis, Minnesota, USA", USA,Minnesota,1954.0,65.0
729,Peter Howell,Canada,The Toronto Star,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,"Missoula, Montana, USA", USA,Montana,1946.0,73.0
