d1,d2,d1_url
Nanni Moretti,,/name/nm0604335/
Mariano Llinás,,/name/nm1183471/
David Lynch,,/name/nm0000186/
David Fincher,,/name/nm0000399/
Gus Van Sant,,/name/nm0001814/
Apichatpong Weerasethakul,,/name/nm0917405/
David Lynch,,/name/nm0000186/
Pedro Almodóvar,,/name/nm0000264/
Hou Hsiao-hsien,,/title/tt4092526/
Clint Eastwood,,/name/nm0000142/
Wong Kar-wai,,/name/nm0939182/
Andrey Zvyagintsev,,/name/nm1168657/
Jia Zhangke,,/title/tt4092686/
Nuri Bilge Ceylan,,/name/nm0149196/
Terrence Malick,,/name/nm0000517/
Jacques Audiard,,/name/nm0002191/
Abderrahmane Sissako,,/name/nm0803066/
Abdellatif Kechiche,,/name/nm0444244/
,,/name/nm0545408/
Asghar Farhadi,,/name/nm1410815/
Juan José Campanella,,/name/nm0002728/
Park Chan-wook,,/name/nm0661791/
Wong Kar-wai,,/name/nm0939182/
Catherine Breillat,,/name/nm0106924/
J. A. Bayona,,/name/nm1291105/
Thomas Vinterberg,,/name/nm0899121/
Harmony Korine,,/name/nm0005101/
Guy Maddin,,/name/nm0534665/
Roman Polanski,,/name/nm0000591/
Baz Luhrmann,,/name/nm0525303/
George Lucas,,/name/nm0000184/
Pacho Velez, Stephanie Spray,/name/nm1381945/
David Fincher,,/name/nm0000399/
Roy Andersson,,/name/nm0027815/
Bong Joon-ho,,/name/nm0094435/
Joel, Ethan Coen,/name/nm0001054/
Ousmane Sembène,,/name/nm0783733/
Abderrahmane Sissako,,/name/nm0803066/
Jihan El-Tahri,,/name/nm1911613/
Mahamat-Saleh Haroun,,/name/nm0757958/
Ngozi Onwurah,,/name/nm0648937/
Bazi Gete,,/name/nm6514631/
Jean-Marie Téno,,/name/nm0879403/
Andrew Dosunmu,,/name/nm0234506/
Khalo Matabane,,/name/nm1988834/
Amma Asante,,/name/nm1392994/
Darren Aronofsky,,/name/nm0004716/
Lars von Trier,,/name/nm0001885/
Alfonso Cuarón,,/name/nm0190859/
Jean-Pierre, Luc Dardenne,/name/nm0077450/
Joel, Ethan Coen,/name/nm0001054/
Andrea Arnold,,/name/nm0036349/
Terrence Malick,,/name/nm0000517/
Christopher Nolan,,/name/nm0634240/
Quentin Tarantino,,/name/nm0000233/
Gaspar Noé,,/name/nm0637615/
Michael Haneke,,/name/nm0359734/
Asghar Farhadi,,/name/nm1410815/
