d1,d2,d1_url,direc_birthyear,birth_place
Joel, Ethan Coen,/name/nm0001054/,1954,"Minneapolis, Minnesota, USA"
Tomas Alfredson,,/name/nm0019247/,1965,"Lidingö, Stockholms län, Sweden"
Shane Carruth,,/name/nm1503403/,,
Wong Kar-wai,,/name/nm0939182/,1956,"Shanghai, China"
"Paris, 1871) (Peter Watkins",, ,,
Apichatpong Weerasethakul,,/name/nm0917405/,1970,"Bangkok, Thailand"
Wong Kar-wai,,/name/nm0939182/,1956,"Shanghai, China"
Spike Jonze,,/name/nm0005069/,1969,"Rockville, Maryland, USA"
Carlos Reygadas,,/name/nm1196161/,1971,"Mexico City, Distrito Federal, Mexico"
Michael Haneke,,/name/nm0359734/,1942,"Munich, Bavaria, Germany"
David Lynch,,/name/nm0000186/,1946,"Missoula, Montana, USA"
David Lynch,,/name/nm0000186/,1946,"Missoula, Montana, USA"
Raoul Ruiz,,/name/nm0749914/,1941,"Puerto Montt, Chile"
Michel Gondry,,/name/nm0327273/,1963,"Versailles, Seine-et-Oise [now Yvelines], France"
Paul Thomas Anderson,,/name/nm0000759/,1970,"Studio City, California, USA"
David Lynch,,/name/nm0000186/,1946,"Missoula, Montana, USA"
Alfonso Cuarón,,/name/nm0190859/,1961,"Mexico City, Distrito Federal, Mexico"
Fernando Meirelles, Kátia Lund,/name/nm0576987/,1955,"São Paulo, São Paulo, Brazil"
Guillermo Del Toro,,/name/nm0868219/,1964,"Guadalajara, Jalisco, Mexico"
Christopher Nolan,,/name/nm0634240/,1970,"London, England, UK"
Brad Bird,,/name/nm0083348/,1957,"Kalispell, Montana, USA"
Alejandro González Iñárritu,,/name/nm0327944/,1963,"Mexico City, Distrito Federal, Mexico"
Joel, Ethan Coen,/name/nm0001054/,1954,"Minneapolis, Minnesota, USA"
Ang Lee,,/name/nm0000487/,1954,"Pingtung, Taiwan"
Wong Kar-wai,,/name/nm0939182/,1956,"Shanghai, China"
Steve McQueen,,/name/nm0000537/,1930,"Beech Grove, Indiana, USA"
Hayao Miyazaki,,/name/nm0594503/,1941,"Tokyo, Japan"
Andrea Arnold,,/name/nm0036349/,1961,"Dartford, Kent, England, UK"
Xavier Dolan,,/name/nm0230859/,1989,"Montreal, Quebec, Canada"
Pedro Almodóvar,,/name/nm0000264/,1949,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain"
Abderrahmane Sissako,,/name/nm0803066/,1961,"Kiffa, Mauritania"
Ava DuVernay,,/name/nm1148550/,1972,"Long Beach, California, USA"
Michael Haneke,,/name/nm0359734/,1942,"Munich, Bavaria, Germany"
Lucrecia Martel,,/name/nm0551506/,1966,"Salta, Argentina"
Wes Anderson,,/name/nm0027572/,1969,"Houston, Texas, USA"
Todd Haynes,,/name/nm0001331/,1961,"Los Angeles, California, USA"
Wes Anderson,,/name/nm0027572/,1969,"Houston, Texas, USA"
Sofia Coppola,,/name/nm0001068/,1971,"New York City, New York, USA"
Tom Ford,,/name/nm1053530/,1961,"Austin, Texas, USA"
Hayao Miyazaki,,/name/nm0594503/,1941,"Tokyo, Japan"
Lee Unkrich,,/name/nm0881279/,1967,"Cleveland, Ohio, USA"
Michel Gondry,,/name/nm0327273/,1963,"Versailles, Seine-et-Oise [now Yvelines], France"
Luca Guadagnino,,/name/nm0345174/,,
Richard Kelly,,/name/nm0446819/,1975,"Newport News, Virginia, USA"
Paul Thomas Anderson,,/name/nm0000759/,1970,"Studio City, California, USA"
Jean-Luc Godard,,/name/nm0000419/,1930,"Paris, France"
David Cronenberg,,/name/nm0000343/,1943,"Toronto, Ontario, Canada"
Evan Goldberg, Seth Rogen,/name/nm1698571/,,
Sofia Coppola,,/name/nm0001068/,1971,"New York City, New York, USA"
Leos Carax,,/name/nm0136021/,1960,"Suresnes, Seine [now Hauts-de-Seine], France"
Chantal Akerman,,/name/nm0001901/,1950,"Brussels, Belgium"
Joel, Ethan Coen,/name/nm0001054/,1954,"Minneapolis, Minnesota, USA"
Jacques Rivette,,/name/nm0729626/,1928,"Rouen, Seine-Inférieure [now Seine-Maritime], France"
Spike Lee,,/name/nm0000490/,1957,"Atlanta, Georgia, USA"
Richard Linklater,,/name/nm0000500/,1960,"Houston, Texas, USA"
Jonathan Glazer,,/name/nm0322242/,1965,"London, England, UK"
Duke Johnson, Charlie Kaufman,/name/nm2122478/,1979,"St. Louis, Missouri, USA"
Steve McQueen,,/name/nm0000537/,1930,"Beech Grove, Indiana, USA"
"Eric Darnell, Tom McGrath", Conrad Vernon, ,,
Mike Leigh,,/name/nm0005139/,1943,"Salford, Greater Manchester, England, UK"
Julian Schnabel,,/name/nm0773603/,1951,"Brooklyn, New York, USA"
Alfonso Cuarón,,/name/nm0190859/,1961,"Mexico City, Distrito Federal, Mexico"
David Fincher,,/name/nm0000399/,1962,"Denver, Colorado, USA"
Asghar Farhadi,,/name/nm1410815/,1972,"Khomeyni Shahr, Isfahan, Iran"
Andrew Stanton,,/name/nm0004056/,1965,"Boston, Massachusetts, USA"
Wong Kar-wai,,/name/nm0939182/,1956,"Shanghai, China"
Hayao Miyazaki,,/name/nm0594503/,1941,"Tokyo, Japan"
Richard Linklater,,/name/nm0000500/,1960,"Houston, Texas, USA"
Nanni Moretti,,/name/nm0604335/,1953,"Brunico, Trentino-Alto Adige, Italy"
Mariano Llinás,,/name/nm1183471/,,
David Lynch,,/name/nm0000186/,1946,"Missoula, Montana, USA"
David Fincher,,/name/nm0000399/,1962,"Denver, Colorado, USA"
Gus Van Sant,,/name/nm0001814/,1952,"Louisville, Kentucky, USA"
Apichatpong Weerasethakul,,/name/nm0917405/,1970,"Bangkok, Thailand"
David Lynch,,/name/nm0000186/,1946,"Missoula, Montana, USA"
Pedro Almodóvar,,/name/nm0000264/,1949,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain"
Hou Hsiao-hsien,,/title/tt4092526/,,
Clint Eastwood,,/name/nm0000142/,1930,"San Francisco, California, USA"
Wong Kar-wai,,/name/nm0939182/,1956,"Shanghai, China"
Andrey Zvyagintsev,,/name/nm1168657/,1964,"Novosibirsk, Novosibirskaya oblast, RSFSR, USSR [now Russia]"
Jia Zhangke,,/title/tt4092686/,,
Nuri Bilge Ceylan,,/name/nm0149196/,1959,"Istanbul, Turkey"
Terrence Malick,,/name/nm0000517/,1943,"Ottawa, Illinois, USA"
Jacques Audiard,,/name/nm0002191/,1952,"Paris, France"
Abderrahmane Sissako,,/name/nm0803066/,1961,"Kiffa, Mauritania"
Abdellatif Kechiche,,/name/nm0444244/,1960,"Tunis, Tunisia"
,,/name/nm0545408/,1928,"Buffalo, New York, USA"
